ED, PFS, HV
9169, 27, 1.792163196E9
1826608, 8493268, 
2146268, 7675192, 
2427860, 5961400, 
2588788, 5504092, 
2881032, 5272640, 
2907684, 5095984, 
2907684, 5095984, 
3233308, 4854280, 
3527468, 4642764, 
3975148, 4632676, 
4179948, 4276616, 
4426316, 3991844, 
5701820, 3823472, 
5701820, 3823472, 
5765772, 3690476, 
5765772, 3690476, 
6456136, 3551836, 
6524600, 3461668, 
6946004, 3358720, 
6983140, 3104516, 
8529788, 2883508, 
11818268, 2816784, 
11837728, 2732968, 
11837728, 2732968, 
11941168, 2702416, 
11941168, 2702416, 
11941168, 2702416, 
1826608, 8493268, 
2146268, 7675192, 
2427860, 5961400, 
2588788, 5504092, 
2881032, 5272640, 
2907684, 5095984, 
2907684, 5095984, 
3233308, 4854280, 
3527468, 4642764, 
3975148, 4632676, 
4179948, 4276616, 
4426316, 3991844, 
5701820, 3823472, 
5701820, 3823472, 
5765772, 3690476, 
5765772, 3690476, 
6456136, 3551836, 
6524600, 3461668, 
6946004, 3358720, 
6983140, 3104516, 
8529788, 2883508, 
11818268, 2816784, 
11837728, 2732968, 
11837728, 2732968, 
11941168, 2702416, 
11941168, 2702416, 
11941168, 2702416, 

